freq,unit,coicop,geo\TIME_PERIOD	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,RCH_A,CP00,AL	2.5 d	2.6 d	2.3 d	2.5 d	2.4 d	2.3 d	2.2 d	2.2 d	2.1 d	: 
M,RCH_A,CP00,AT	3.1 	3.3 	3.0 	3.2 	3.7 	4.1 	3.9 	4.0 	4.0 	3.9 e
M,RCH_A,CP00,BE	3.6 	3.1 	2.8 	2.9 	2.6 	2.6 	2.7 	2.5 	2.6 	2.2 e
M,RCH_A,CP00,BG	4.0 	2.8 	2.9 	3.1 	3.4 	3.5 	4.1 	3.8 	3.7 	: 
M,RCH_A,CP00,CH	0.1 	0.3 	-0.2 	0.2 	0.1 	0.0 	0.0 	0.1 	0.0 	: 
M,RCH_A,CP00,CY	2.1 	1.4 	0.4 	0.5 	0.1 	0.0 	0.0 	0.2 	0.1 	0.1 e
M,RCH_A,CP00,CZ	2.7 	1.7 	2.3 	2.8 	2.5 	2.4 	2.0 	2.3 	1.8 	: 
M,RCH_A,CP00,DE	2.3 	2.2 	2.1 	2.0 	1.8 	2.1 	2.4 	2.3 	2.6 	2.0 e
M,RCH_A,CP00,DK	1.4 	1.5 	1.5 	1.8 	2.2 	1.9 	2.2 	2.1 	2.0 	: 
M,RCH_A,CP00,EA	2.2 	2.2 	1.9 	2.0 	2.0 	2.0 	2.2 	2.1 	2.1 	2.0 e
M,RCH_A,CP00,EA19	2.2 	2.2 	1.9 	2.0 	2.0 	2.0 	2.2 	2.1 	2.1 	: 
M,RCH_A,CP00,EA20	2.2 	2.2 	1.9 	2.0 	2.0 	2.0 	2.2 	2.1 	2.1 	: 
M,RCH_A,CP00,EE	4.3 	4.4 	4.6 	5.2 	5.6 	6.2 	5.3 	4.5 	4.7 	4.1 e
M,RCH_A,CP00,EEA	2.5 	2.4 	2.2 	2.3 	2.4 	2.4 	2.6 	2.5 	2.4 	: 
M,RCH_A,CP00,EL	3.1 	2.6 	3.3 	3.6 	3.7 	3.1 	1.8 	1.6 	2.8 	2.9 e
M,RCH_A,CP00,ES	2.2 	2.2 	2.0 	2.3 	2.7 	2.7 	3.0 	3.2 	3.2 	3.0 e
M,RCH_A,CP00,EU	2.5 	2.4 	2.2 	2.3 	2.4 	2.4 	2.6 	2.5 	2.4 	: 
M,RCH_A,CP00,EU27_2020	2.5 	2.4 	2.2 	2.3 	2.4 	2.4 	2.6 	2.5 	2.4 	: 
M,RCH_A,CP00,FI	1.8 	1.9 	2.0 	1.9 	1.9 	2.2 	2.2 	1.4 	1.5 	1.8 e
M,RCH_A,CP00,FR	0.9 	0.9 	0.6 	0.9 	0.9 	0.8 	1.1 	0.8 	0.8 	0.7 e
M,RCH_A,CP00,HR	4.3 	4.0 	4.3 	4.4 	4.5 	4.6 	4.6 	4.0 	4.3 	3.8 e
M,RCH_A,CP00,HU	4.8 	4.2 	4.5 	4.6 	4.2 	4.2 	4.3 	4.2 	3.7 	: 
M,RCH_A,CP00,IE	1.8 	2.0 	1.4 	1.6 	1.6 	1.9 	2.7 	2.8 	3.1 	2.7 e
M,RCH_A,CP00,IS	3.4 	3.9 	3.5 	3.9 	3.7 	3.7 	4.3 	3.9 	3.4 	: 
M,RCH_A,CP00,IT	2.1 	2.0 	1.7 	1.8 	1.7 	1.6 	1.8 	1.3 	1.1 	1.2 e
M,RCH_A,CP00,LT	3.7 	3.6 	3.0 	3.2 	3.4 	3.6 	3.7 	3.7 	3.6 	3.2 e
M,RCH_A,CP00,LU	1.5 	1.7 	2.1 	2.4 	2.6 	2.8 	3.1 	3.0 	3.6 	3.3 e
M,RCH_A,CP00,LV	3.5 	4.0 	3.7 	3.9 	3.9 	4.2 	4.2 	4.3 	3.8 	3.5 e
M,RCH_A,CP00,ME	3.2 d	3.8 d	4.5 d	4.6 d	4.7 d	4.7 d	4.7 d	4.6 d	3.9 d	: 
M,RCH_A,CP00,MK	3.8 d	3.5 d	4.1 d	5.1 d	4.6 d	4.4 d	3.3 d	4.4 d	3.6 d	: 
M,RCH_A,CP00,MT	2.1 	2.6 	2.7 	2.5 	2.5 	2.7 	2.4 	2.5 	2.5 	2.3 e
M,RCH_A,CP00,NL	3.4 	4.1 	2.9 	2.8 	2.5 	2.4 	3.0 	3.0 	2.6 	2.5 e
M,RCH_A,CP00,NO	2.3 	2.1 	2.7 	2.7 	3.1 	3.5 	3.6 	3.0 	2.7 	: 
M,RCH_A,CP00,PL	4.4 	3.7 	3.5 	3.4 	2.9 	2.7 	2.9 	2.9 	2.6 	: 
M,RCH_A,CP00,PT	1.9 	2.1 	1.7 	2.1 	2.5 	2.5 	1.9 	2.0 	2.1 	2.4 e
M,RCH_A,CP00,RO	5.1 	4.9 	5.4 	5.8 	6.6 	8.5 	8.6 	8.4 	8.6 	: 
M,RCH_A,CP00,RS	4.5 d	4.1 d	3.9 d	4.7 d	5.0 d	4.9 d	3.1 d	3.1 d	3.1 d	: 
M,RCH_A,CP00,SE	2.1 	2.1 	2.3 	2.9 	3.1 	3.4 	3.2 	3.1 	2.2 	: 
M,RCH_A,CP00,SI	2.2 	2.3 	1.9 	2.5 	2.9 	3.0 	2.7 	3.1 	2.4 	2.6 e
M,RCH_A,CP00,SK	4.2 	3.9 	4.3 	4.6 	4.6 	4.4 	4.6 	3.9 	3.9 	4.1 e
M,RCH_A,CP00,TR	38.1 d	37.9 d	35.4 d	35.1 d	33.5 d	33.0 d	33.3 d	32.9 d	31.1 d	: 
M,RCH_A,CP00,XK	2.9 d	3.0 d	3.6 d	4.3 d	4.3 d	4.5 d	4.7 d	5.1 d	5.3 d	: 
M,RCH_A,CP01,AL	2.5 d	3.0 d	1.8 d	2.2 d	1.8 d	1.7 d	1.1 d	1.3 d	1.8 d	: 
M,RCH_A,CP01,AT	3.1 	2.8 	3.3 	4.5 	5.0 	5.0 	3.7 	3.9 	3.4 	: 
M,RCH_A,CP01,BE	2.4 	2.7 	2.6 	3.0 	2.9 	2.8 	3.1 	2.7 	2.9 	: 
M,RCH_A,CP01,BG	5.5 	6.0 	6.8 	7.6 	7.7 	6.9 	6.4 	6.6 	5.5 	: 
M,RCH_A,CP01,CH	-0.4 	-1.0 	-0.4 	-0.3 	-0.9 	-0.9 	-1.1 	-0.9 	-0.6 	: 
M,RCH_A,CP01,CY	2.6 	3.0 	2.4 	0.0 	-2.0 	-2.3 	-2.0 	-2.0 	-1.6 	: 
M,RCH_A,CP01,CZ	6.2 	4.2 	5.5 	6.3 	5.1 	4.6 	2.6 	3.4 	2.2 	: 
M,RCH_A,CP01,DE	3.6 	3.3 	3.3 	2.5 	2.7 	3.1 	2.8 	2.1 	2.0 	: 
M,RCH_A,CP01,DK	5.0 	3.7 	5.2 	5.2 	6.5 	5.8 	5.3 	4.5 	3.5 	: 
M,RCH_A,CP01,EA	2.6 	2.7 	2.9 	2.9 	3.2 	3.2 	3.0 	2.4 	2.3 	: 
M,RCH_A,CP01,EA19	2.5 	2.7 	2.9 	2.9 	3.2 	3.2 	3.0 	2.4 	2.3 	: 
M,RCH_A,CP01,EA20	2.5 	2.7 	2.9 	2.9 	3.2 	3.2 	3.0 	2.4 	2.3 	: 
M,RCH_A,CP01,EE	6.7 	7.4 	7.2 	8.4 	9.2 	9.4 	7.8 	6.4 	6.6 	: 
M,RCH_A,CP01,EEA	3.4 	3.3 	3.6 	3.6 	3.9 	3.9 	3.5 	3.0 	2.8 	: 
M,RCH_A,CP01,EL	2.3 	2.1 	3.1 	2.6 	3.7 	2.6 	1.4 	2.6 	3.0 	: 
M,RCH_A,CP01,ES	2.4 	2.1 	2.5 	2.8 	2.7 	2.3 	2.4 	2.4 	2.9 	: 
M,RCH_A,CP01,EU	3.3 	3.3 	3.6 	3.6 	3.9 	3.9 	3.5 	3.0 	2.7 	: 
M,RCH_A,CP01,EU27_2020	3.3 	3.3 	3.6 	3.6 	3.9 	3.9 	3.5 	3.0 	2.7 	: 
